a52dec 0.7.4-11
glib-networking 1:2.72.2-1
glib-perl 1.329.3-3
glib2 2.72.3-3
glibc 2.36-4
glibmm 2.66.4-1
glu 9.0.2-3
gmp 6.2.1-2
gnome-menus 3.36.0-2
gnome-online-accounts 3.44.0-1
gnome-themes-extra 3.28+r6+g45b1d457-1
gnu-netcat 0.7.1-8
gnupg 2.2.39-1
gnutls 3.7.7-3
gobject-introspection-runtime 1.72.0-1
gpart 0.3-4
gparted 1.4.0-1
gpgme 1.18.0-1
gpick 0.2.6-5
gpm 1.20.7.r38.ge82d1a6-4
gptfdisk 1.0.9-1
graphene 1.10.8-1
graphite 1:1.3.14-2
grep 3.8-2
groff 1.22.4-7
grub 2.06-2
gsettings-desktop-schemas 42.0-1
gsm 1.0.22-1
gspell 1.10.0-2
gssproxy 0.9.1-2
gst-plugins-bad-libs 1.20.3-1
gst-plugins-base-libs 1.20.3-1
gstreamer 1.20.3-1
gtk-engine-murrine 0.98.2-4
gtk-update-icon-cache 1:4.8.0-1
gtk2 2.24.33-2
gtk3 1:3.24.34-1
gtk4 1:4.8.0-1
gtkmm 1:2.24.5-4
gtkmm3 3.24.7-1
gtksourceview3 1:3.24.11+r28+g73e57b57-1
gtksourceview4 4.8.3-1
gtkspell3 3.0.10-2
guile 2.2.7-2
gutenprint 5.3.4-1
gvfs 1.50.2-1
gvfs-afc 1.50.2-1
gvfs-goa 1.50.2-1
gvfs-google 1.50.2-1
gvfs-gphoto2 1.50.2-1
gvfs-mtp 1.50.2-1
gvfs-smb 1.50.2-1
gzip 1.12-1
harfbuzz 5.1.0-1
harfbuzz-icu 5.1.0-1
hdparm 9.64-1
hicolor-icon-theme 0.17-2
hidapi 0.12.0-1
highlight 4.2-1
htop 3.2.1-1
http-parser 2.9.4-1
hwdata 0.362-1
hwloc 2.8.0-1
hyperv 5.19-1
hyphen 2.8.8-4
i3lock-color 2.13.c.4-1
iana-etc 20220715-1
icu 71.1-1
ijs 0.35-4
imagemagick 7.1.0.48-1
imlib2 1.9.1-1
inetutils 2.3-1
iniparser 4.1-4
inotify-tools 3.22.6.0-1
iproute2 5.19.0-1
iptables 1:1.8.8-2
iputils 20211215-1
ipw2100-fw 1.3-10
ipw2200-fw 3.1-8
iso-codes 4.11.0-2
iw 5.19-1
iwd 1.30-1
jack2 1.9.21-1
jansson 2.14-2
jbig2dec 0.19-1
jemalloc 1:5.3.0-1
jfsutils 1.1.15-8
jq 1.6-4
json-c 0.16-1
json-glib 1.6.6-2
jsoncpp 1.9.5-2
kbd 2.5.1-1
keyutils 1.6.3-1
kmod 30-1
krb5 1.19.3-3
ksuperkey 0.4-2
kvantum 1.0.4-1
kwindowsystem 5.98.0-1
l-smash 2.14.5-2
lame 3.100-4
lbzip2 2.5-5
lcms2 2.13.1-1
ldb 2:2.5.2-2
ldns 1.8.3-1
less 1:608-1
lftp 4.9.2-1
libadwaita 1:1.2.0-1
libaio 0.3.113-1
libao 1.2.2-5
libarchive 3.6.1-2
libass 0.16.0-1
libassuan 2.5.5-1
libasyncns 1:0.8+r3+g68cd5af-1
libatasmart 0.19-5
libavc1394 0.5.4-4
libavif 0.10.1-2
libblockdev 2.27-1
libbluray 1.3.2-1
libbpf 0.8.1-1
libbs2b 3.1.0-8
libbsd 0.11.6-2
libbytesize 2.7-1
libcaca 0.99.beta20-1
libcanberra 1:0.30+r2+gc0620e4-1
libcap 2.65-1
libcap-ng 0.8.3-1
libcbor 0.9.0-1
libcddb 1.3.2-6
libcdio 2.1.0-2
libcdio-paranoia 10.2+2.0.1-2
libcloudproviders 0.3.1-2
libcolord 1.4.6-1
libconfig 1.7.3-1
libcups 1:2.4.2-3
libdaemon 0.14-5
libdatrie 0.2.13-1
libdbusmenu-glib 16.04.0-5
libdbusmenu-gtk3 16.04.0-5
libdca 0.0.7-1
libde265 1.0.8-2
libdnet 1.16.1-1
libdrm 2.4.113-2
libdvdnav 6.1.1-1
libdvdread 6.1.3-1
libedit 20210910_3.1-1
libelf 0.187-2
libepoxy 1.5.10-1
libev 4.33-1
libevdev 1.13.0-1
libevent 2.1.12-2
libexif 0.6.24-1
libfdk-aac 2.0.2-1
libffi 3.4.2-5
libfido2 1.11.0-1
libfontenc 1.1.6-1
libfreeaptx 0.1.1-1
libftdi 1.5-4
libgcrypt 1.10.1-1
libgdata 0.18.1-2
libgee 0.20.5-2
libgit2 1:1.5.0-1
libglvnd 1.5.0-1
libgme 0.6.3-1
